date,description,amount,balance
2024-09-12,School Fees,-45000,-469904.0
2024-12-30,,-13585,-2235568.0
2024-07-23,TRF,10651,-295662.0
2024-10-09,ATM Withdrawal,-20000,-1034523.0
2024-08-08,POS Purchase,-14107,
2024-12-18,Pharmacy Purchase,-12312,-2454285.0
2024-07-16,School Fees,-30000,-263605.0
2024-07-24,Bolt Ride,-9033,-302036.0
2024-12-10,Medical Expense,-6173,-2357599.0
2024-08-27,Cash Deposit,20000,
2024-12-03,Internet Subscription,-7088,-2118789.0
2024-09-10,TRF,-5701,-361636.0
2024-11-27,Data Subscription,-10479,
2024-12-19,POS,-8255,-2462540.0
2024-12-02,Loan Repayment,-15000,
2024-12-19,,-13354,-2475894.0
2024-11-24,Fast Food,-14121,
2024-07-01,POS Purchase,-14512,10488.0
2024-09-16,POS Purchase,-9234,-590627.0
2024-10-24,Water Bill,-11495,-1337296.0
2024-12-25,Transfer In,10000,-2332369.0
2024-07-08,ATM Withdrawal,-20000,-289210.0
2024-10-14,Uber Ride,-6837,-1263151.0
2024-09-19,Spotify Subscription,-1048,-663658.0
2024-09-20,Fast Food,-9940,-714212.0
2024-10-22,Grocery Store,-10285,-1320909.0
2024-07-29,TRF,3605,-291132.0
2024-11-19,Spotify Subscription,-10499,-1510118.0
2024-07-26,Transfer In,10000,-227122.0
2024-08-15,Transfer Out,-10281,
2024-10-22,TRF,-10962,-1301119.0
2024-10-19,Supermarket,-7220,-1393455.0
2024-07-14,Supermarket,-8070,-201608.0
2024-09-30,Restaurant,-10524,-935804.0
2024-11-12,Bolt Ride,-14156,-1545106.0
2024-08-04,,-7615,-446201.0
2024-10-09,Netflix Subscription,-3375,-1037898.0
2024-09-18,Transfer In,10000,-614269.0
2024-07-24,Spotify Subscription,-12149,-393975.0
2024-08-03,TRF,-9066,-436751.0
2024-08-11,Salary Payment,200000,-395554.0
2024-11-25,Transfer Out,-8775,-1721196.0
2024-08-31,Transfer In,20000,-552607.0
2024-12-05,Bolt Ride,-7635,-2163786.0
2024-07-10,Water Bill,-11490,-140397.0
2024-08-26,Unknown,-9451,
2024-09-07,Transfer In,20000,-291929.0
2024-07-02,Transfer In,5000,-53420.0
2024-09-29,Gym Membership,-4707,-898162.0
